"id","position_id/id","tax_src_id/id","tax_dest_id/id"
"itrc1","itrc","22a","22art173a"
"intraacq1","intraacq","22a","22art38a"
"intraven1","intraven","22v","00art41v"
"estero1","estero","22v","00art8v"
"esteroau1","esteroau","22a","22art173a"
"professionisti1","professionisti","22a","22a"
"professionisti2","professionisti","22a","20ra"
"agenti1","agenti","22a","22a"
"agenti2","agenti","22a","235ra"
"agenti3","agenti","22a","710ena"
"provvigioni1","provvigioni","22v","22v"
"provvigioni2","provvigioni","22v","232rv"
"provvigioni3","provvigioni","22v","710env"
"detrazione50iva10_1","detrazione50iva10","22v","10v"
"detrazione65iva10_1","detrazione65iva10","22v","10v"
"detrazione65iva488_1","detrazione65iva488","22v","22v"
"iva04_1","iva04","22v","4v"
"esport8c1c_1","esport8c1c","22v","00art8cv"