"id","name"
"stock.journal_install","Installation"
"stock.journal_cnoleggio","C/Rent"
"stock.journal_cg","C/repair under warranty"
"stock.journal_csgaranzia","C/replacement under warranty"
"stock.journal_cug","free loan"
"stock.journal_omaggio","Tribute"
"stock.journal_reso","Return"
"stock.journal_reso1","Return to Vendor"
"stock.journal_reso2","Made Rental Income"
"stock.journal_reso3","Account Rendered Vision"
"stock.journal_reso4","Return to Repair"
"stock.journal_reso5","Made for Accreditation"
"stock.journal_reso6","Made for Replacement"
"stock.journal_reso7","Made in Fixed Guarantee"
"stock.journal_trans","Transfer of Goods"